name,new_price,old_price,rate,feedback
Бумага листовая для офисной техники Sylvamo Svetocopy А4ф С07/3 500 листов,35 990,55 000,4.9,20165
Подгузники-трусики Huggies Elite Soft Mega 4 9-14 кг 38 штук,137 990,190 000,4.9,123
Подгузники Трусики Huggies Elite Soft Mega 5 12-17кг 34 шт,137 990,190 000,4.9,197
Зеленый горошек Bonduelle нежный 400 гр,16 900,19 300,5.0,1065
Чистящее средство Domestos 1250 мл,38 990,65 000,4.9,297
Корм консервированный для кошек PROХВОСТ кролик 415 гр 10 PH 518,12 990,17 300,4.8,163
Сумка женская маленькая через плечо,35 000,100 000,4.3,108
Кофе Jacobs Monarch 190 г,99 020,114 000,5.0,3215
Телевизор Artel A43KF5500 SMART TV Android чёрный,2 629 000,4 999 000,4.9,210
Отбеливатель Vanish Oxi Advance 400 мл,61 800,70 000,4.8,10
Блеск для губ LOreal Paris Infaillible тон 110 Абсолютная власть,63 990,96 000,4.9,61
Тушь для ресниц LOreal Paris Telescopic черная,106 990,146 000,4.8,379
Смартфон Samsung Galaxy A06 6+128ГБ 6.7 большой дисплей основная камера 50МП Dual Sim,1 299 000,4 999 000,4.9,70
Газированный напиток Coca-Cola 2 л,15 000,17 890,4.9,809
Новогодняя искусственная ёлка высотой 120 - 150 см с мишурой и гирляндами,139 000,999 000,4.9,712
Пижама unisex для всей семьи,139 000,200 000,5.0,11
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Сладкая кукуруза Oila tanlovi 400 г,9 990,16 000,4.9,9222
Смартфон Honor 200 lite 8/256 ГБ камера 108 МП селфи 50 МП AMOLED экран,2 999 000,5 000 000,4.8,46
Столовый сервиз Luminarc Ocean Eclipse 44 предмета,449 000,999 000,4.9,596
Микроволновая печь Toshiba MW-MM20P-P,899 000,1 199 000,4.9,407
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Очиститель воздуха Xiaomi Smart Air Purifier 4,799 000,15 000 000,5.0,2
Смартфон Xiaomi 14T и 14T Pro 12ГБ+1TБ AMOLED дисплей 144Гц Pad SE 8.7 в подарок,6 290 000,21 199 000,5.0,3
Смартфон Xiaomi Redmi Note 13 Pro+ 8/256 ГБ 12/512 ГБ 5G камера 200 МП NFC,4 490 000,6 029 000,4.8,198
Аэрогриль фритюрница Xiaomi Air Fryer Essential 6 L 1550 Вт12 программ приготовления EU,1 149 000,1 799 000,5.0,6
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
LOreal Paris Elseve шампунь для волос жирных у корней и обезвоженных на кончиках Гиалурон Баланс 250 мл,24 990,43 000,4.9,107
Крем для лица LOreal Paris Hyaluron Expert SPF20 дневной 50 мл,57 990,97 100,4.9,160
Тушь для ресниц VOLUME MILLION LASHES Panorama черная,119 900,190 000,4.8,9
Гель-пилинг для умывания LOreal Paris Revitalift 150 мл,67 990,103 000,4.9,32
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Серебряное колье куб. оксид циркония Pandora 590534CZ,1 640 000,,5.0,1
Браслет-змейка с застежкой-бочонком Pandora 580702,1 460 000,,,
Кольцо Возвышенное красное сердце Pandora 198421C02,999 000,1 250 000,Новинка!,
Кольцо-тиара PANDORA Shine с прозрачным кубическим цирконием 167158CZ,780 000,1 560 000,Новинка!,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Новогодняя искусственная ёлка высотой 120 - 150 см с мишурой и гирляндами,139 000,999 000,4.9,712
Искусственный снег Экстра 88% Snow Spray украшение для деревьев и окон 250 мл,19 000,50 000,3.3,3
Наборы елочных игрушек 40-42-44 шт,149 000,380 000,4.9,48
Елка искусственная новогодняя с ягодами и шишками снежный напыль 120-240 см,289 000,2 999 000,4.9,101
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Женская теплая длинная куртка с капюшоном,199 000,599 000,4.9,273
Водонепроницаемый рюкзак унисекс для школы сумка для офиса для ноутбука,139 000,399 000,4.1,80
Женские зимние полусапожки и ботинки Корея,389 000,780 000,4.8,66
Свитшот в полоску для женщин,49 000,179 000,4.6,567
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Набор Coca cola 1.5 л Fanta 1.5 л Sprite 15 л с брендированным медведем,41 470,46 000,5.0,884
Набор кухонной посуды: сковородки и кастрюли 6 предметов,649 000,1 500 000,4.9,559
Кофе Jacobs Monarch 190 г,99 020,114 000,5.0,3215
Сковорода алюминиевая Oila Tanlovi 26/ 24/ 28 см,80 000,110 000,4.8,1521
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Смарт-телевизор WellStars 32/43/55/70 голосовой поиск Magic пульт Full HD 4K,1 199 000,2 295 000,4.7,355
Профессиональный фотоэпилятор для удаления волос,399 000,1 000 000,4.4,55
Аккумуляторная дрель-шуруповерт LFINE щеточная/бесщеточная набор из 24/118 предметов,259 000,550 000,4.7,1770
Кукольный домик для девочек Лолли 40 * 39 * 52 см,990 000,1 400 000,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Палитра матовых теней для век MATTE PROFESSIONAL тени для кожи вокруг глаз из 10 цветов,24 000,150 000,4.8,191
Цветная тушь для ресниц Teayason Кошачий глаз,16 000,48 000,4.7,583
Прозрачный гель-дезодорант Secret США Outlast на 48 часов абсолютная чистота 73 г,169 000,,5.0,20
Палетка теней для век и глаз для макияжатен матоваярумянахайлайтер,59 900,180 000,5.0,78
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Смартфон Xiaomi Redmi Note 13 Pro 12+512ГБ 6.67 120 Гц AMOLED дисплей 5000 мА/ч,2 899 000,7 997 000,4.8,170
Смартфон Xiaomi Redmi Note 13 6/128 ГБ 8/128 ГБ 8/256 ГБ 6.67 120 Гц,1 989 000,4 599 000,4.9,967
Смартфон Samsung Galaxy A16 8GB 256GB Super AMOLED 90Hz 67 50 MP,2 157 000,5 000 000,5.0,7
Смартфон Xiaomi Redmi 14C 8+256ГБ 5160 мА/ч батарея быстрая зарядка 18W камера 50МП AI,1 579 000,3 999 000,4.8,271
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Крем универсальный для ухода за кожей NIVEA 75 мл,24 600,27 000,4.9,177
Крем универсальный NIVEA Soft с витаминами,30 350,33 000,4.9,313
Дезодорант-спрей для мужчин NIVEA MEN Deo Fresh невидимая защита для черного и белого,30 910,35 000,4.9,253
Дезодорант-спрей для женщин Nivea Clear невидимый для черного и белого 150 мл,28 870,38 000,4.9,501
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Смартфон Huawei Nova Y61 4/128GB NFC тройная камера 50 Мп с ИИ экран HD+ 6.52,1 179 000,4 009 000,5.0,6
Противоударный смартфон Honor X9b 5G 8/12/256ГБ 6.78 OLED 120 Гц экран,4 199 000,5 567 000,4.9,749
Смартфон Tecno Spark 30C 4/128GB 6/128GB 8/256GB 2NanoSIM батарея 5000 мА/ч,1 499 000,4 269 000,5.0,17
Смартфон Honor X6b 4/128GB 6/256GB большая батарея 5200 мА/ч камера 50 Мп + 2 Мп,1 649 000,4 329 000,4.9,359
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Умный робот пылесос Xiaomi Mi Robot Vacuum X10 X10+ X20+ и увлажнитель воздуха Xiaomi,4 999 000,9 023 000,5.0,12
Умный робот пылесос Xiaomi Mi Robot Vacuum S10 S10+ E10 + графический планшет Xiaomi,1 749 000,3 541 000,4.8,75
Робот пылесос Xiaomi Mi Robot Vacuum S20 S20+ Global + бонус Yandex Plus,2 799 000,6 229 000,4.9,53
Умный робот пылесос Xiaomi Mi Robot Vacuum S12 Global + увлажнитель Mi Humidifier 2 Lite,2 569 000,4 789 000,4.8,45
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Брюки женские классические,149 000,399 000,4.9,52
Зимняя беретка толстая шапка фетровая двухслойная вязаная французкая беретка красный,69 000,150 000,4.9,164
Новогодняя шапка Деда Мороза,19 000,100 000,4.3,93
Брюки женские классические сезон осень зима и весна  размеры S-M L- XL 2XL-3XL,179 000,350 000,4.7,215
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
